login,time,total_pnl,by_symbol,num_positions
263006287,2025-07-25T00:37:59.488381,11.19,"{'NZDUSDc': -2.31, 'GBPJPYc': 7.55, 'EURCADc': -1.1, 'AUDCHFc': 7.38, 'EURUSDc': -0.31}",5
183459647,2025-07-25T00:38:09.511243,-0.77,"{'GBPCADc': 9.5, 'EURUSDc': -0.45, 'AUDJPYc': -0.16, 'EURNZDc': 0.08, 'USDCHFc': -8.01}",5
263006287,2025-07-25T00:38:09.511243,11.17,"{'NZDUSDc': -2.33, 'GBPJPYc': 7.58, 'EURCADc': -1.11, 'AUDCHFc': 7.39, 'EURUSDc': -0.34}",5
263006287,2025-07-25T00:38:19.537149,11.16,"{'NZDUSDc': -2.33, 'GBPJPYc': 7.59, 'EURCADc': -1.13, 'AUDCHFc': 7.39, 'EURUSDc': -0.34}",5
183459647,2025-07-25T00:38:19.537149,-0.81,"{'GBPCADc': 9.47, 'EURUSDc': -0.45, 'AUDJPYc': -0.16, 'EURNZDc': 0.07, 'USDCHFc': -8.01}",5
263006287,2025-07-25T00:38:31.282868,11.15,"{'NZDUSDc': -2.33, 'GBPJPYc': 7.59, 'EURCADc': -1.14, 'AUDCHFc': 7.39, 'EURUSDc': -0.34}",5
183459647,2025-07-25T00:38:31.310226,-0.81,"{'GBPCADc': 9.48, 'EURUSDc': -0.45, 'AUDJPYc': -0.16, 'EURNZDc': 0.07, 'USDCHFc': -8.02}",5
263006287,2025-07-25T00:38:41.298882,11.17,"{'NZDUSDc': -2.33, 'GBPJPYc': 7.62, 'EURCADc': -1.14, 'AUDCHFc': 7.39, 'EURUSDc': -0.35}",5
183459647,2025-07-25T00:38:41.329453,-0.87,"{'GBPCADc': 9.44, 'EURUSDc': -0.46, 'AUDJPYc': -0.16, 'EURNZDc': 0.06, 'USDCHFc': -8.02}",5
263006287,2025-07-25T00:38:51.313913,11.18,"{'NZDUSDc': -2.33, 'GBPJPYc': 7.61, 'EURCADc': -1.12, 'AUDCHFc': 7.38, 'EURUSDc': -0.34}",5
183459647,2025-07-25T00:38:51.345323,-0.81,"{'GBPCADc': 9.48, 'EURUSDc': -0.45, 'AUDJPYc': -0.16, 'EURNZDc': 0.07, 'USDCHFc': -8.02}",5
263006287,2025-07-25T00:39:01.335505,11.16,"{'NZDUSDc': -2.33, 'GBPJPYc': 7.6, 'EURCADc': -1.14, 'AUDCHFc': 7.39, 'EURUSDc': -0.34}",5
